family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2
model,M0_Ridge_G0_calendar_only,48,validate,8760,375.69938906865235,391.3159114779388,354.815412574058,552.8843297517863,582.08308573737,375.69938906865235,0.7375042884120848,-65.27060595664742
model,M0_Ridge_G0_calendar_only,48,holdout,3480,487.0656631404883,493.77410376124556,507.5525931877678,581.5232792841086,597.5543233173642,487.0656631404883,0.8560014658326321,-61.245865204059086
model,M0_Ridge_G0_calendar_only,72,validate,8760,375.069988076565,390.8132698594726,354.5034441877372,553.3745936799764,582.7744049088394,375.069988076565,0.7365652763508096,-65.10046735388238
model,M0_Ridge_G0_calendar_only,72,holdout,3480,486.37189375779485,493.2184169036304,507.3359056425423,581.6524485639795,598.2344249872879,486.37189375779485,0.8551365200668449,-61.10584268829028
model,M0_Ridge_G0_calendar_only,96,validate,8760,374.4029364562503,390.2861088261303,354.09322791438063,554.0493259904778,583.6922693080513,374.4029364562503,0.7355604186970556,-64.92226414501985
model,M0_Ridge_G0_calendar_only,96,holdout,3480,485.64409141790793,492.6371555474646,506.92368317997955,581.6731441809646,598.821660023031,485.64409141790793,0.8542250046637211,-60.95954460524936
model,M0_Ridge_G0_calendar_only,120,validate,8760,373.747148025944,389.77525983587987,353.6630284736077,554.8459062785817,584.6337875827176,373.747148025944,0.734560535968508,-64.74980459961279
model,M0_Ridge_G0_calendar_only,120,holdout,3480,484.9359177720435,492.07478270396706,506.84074421952266,581.8135285207038,599.2517665833351,484.9359177720435,0.8533323823561697,-60.818164782415394
model,M0_Ridge_G0_calendar_only,144,validate,8760,373.11425988636535,389.30460901686854,353.16737765458424,554.9327678020926,585.3542426638288,373.11425988636535,0.7335624472615223,-64.5911156343615
model,M0_Ridge_G0_calendar_only,144,holdout,3480,484.2551763984591,491.5522875871255,506.423945184868,581.4595858233471,600.2452493379662,484.2551763984591,0.8524540413339512,-60.686954884535155
model,M0_Ridge_G0_calendar_only,168,validate,8760,372.5362751986335,388.88190755222075,352.70483953383996,555.5404741060236,585.5467880909686,372.5362751986335,0.7326395806842431,-64.4487571415656
model,M0_Ridge_G0_calendar_only,168,holdout,3480,483.6399576491119,491.0833941735072,505.9008178550164,581.1842430943329,600.7939189490064,483.6399576491119,0.8516546648534626,-60.569324219636485
model,M1_Ridge_G1_calendar_plus_recent_load_lags,1,validate,8760,7.167670099498871,9.04963203906168,5.99172272881367,14.907308711555425,17.74628555596422,-0.11766892817275991,0.023130095985757167,0.9645572208109795
model,M1_Ridge_G1_calendar_plus_recent_load_lags,1,holdout,3480,7.659806518332715,9.612037893131346,6.343389408911747,15.951572335247253,18.84212569439442,-0.2999266965497888,0.024361483109458616,0.9764123411672576
model,M1_Ridge_G1_calendar_plus_recent_load_lags,3,validate,8760,13.166317202613097,16.298489779936762,11.317727602471479,26.60869938506994,31.703684714067325,0.08592828068348027,0.04267219859029381,0.8850363203042466
model,M1_Ridge_G1_calendar_plus_recent_load_lags,3,holdout,3480,14.398068632521202,17.62423153608431,12.985491626514147,28.279098080277123,33.65896198917281,-0.09945416586040015,0.04636384787634046,0.9206998025875058
